,action,position_type,entry_price,entry_time,stop_loss,take_profit,exit_price,pnl,exit_time
111,sell,short,150.857,2023-11-08 17:15:00,150.92835714285715,150.73807142857143,,,
112,stop_loss,short,150.857,2023-11-08 18:25:00,150.792,150.73807142857143,150.813,-1.0,2023-11-08 18:30:00
113,buy,long,150.965,2023-11-08 21:25:00,150.93210714285715,151.01982142857145,,,
114,take_profit,long,150.965,2023-11-08 21:40:00,150.99571428571426,151.01982142857145,151.024,1.5,2023-11-08 21:45:00
115,take_profit,short,151.311,2023-11-10 03:05:00,151.35278571428572,151.24135714285714,151.228,1.5,2023-11-10 03:10:00
116,buy,long,151.502,2023-11-10 17:45:00,151.43107142857144,151.62021428571427,,,
117,stop_loss,long,151.502,2023-11-10 19:25:00,151.535,151.62021428571427,151.532,-1.0,2023-11-10 19:30:00
118,buy,long,151.592,2023-11-13 03:30:00,151.53735714285716,151.68307142857145,,,
119,take_profit,long,151.592,2023-11-13 06:05:00,151.65892857142856,151.68307142857145,151.686,1.5,2023-11-13 06:10:00
120,buy,long,151.747,2023-11-13 14:05:00,151.72107142857143,151.7902142857143,,,
121,stop_loss,long,151.747,2023-11-13 15:05:00,151.7615,151.7902142857143,151.726,-1.0,2023-11-13 15:10:00
122,sell,short,150.37,2023-11-14 21:50:00,150.41253571428572,150.29910714285714,,,
123,take_profit,short,150.37,2023-11-14 22:10:00,150.36,150.29910714285714,150.296,1.5,2023-11-14 22:15:00
124,sell,short,150.264,2023-11-15 13:55:00,150.3236785714286,150.16453571428573,,,
125,stop_loss,short,150.264,2023-11-15 14:05:00,150.3236785714286,150.16453571428573,150.396,-1.0,2023-11-15 14:10:00
126,sell,short,150.459,2023-11-16 17:15:00,150.58617857142858,150.24703571428574,,,
127,stop_loss,short,150.459,2023-11-16 17:30:00,150.41392857142856,150.24703571428574,150.506,-1.0,2023-11-16 17:35:00
128,buy,long,149.505,2023-11-17 14:15:00,149.38767857142858,149.7005357142857,,,
129,stop_loss,long,149.505,2023-11-17 14:20:00,149.38767857142858,149.7005357142857,149.354,-1.0,2023-11-17 14:25:00
130,sell,short,149.398,2023-11-20 04:20:00,149.51842857142856,149.19728571428573,,,
131,take_profit,short,149.398,2023-11-20 04:20:00,149.3582857142857,149.19728571428573,149.01,1.5,2023-11-20 04:25:00
132,buy,long,149.012,2023-11-20 07:25:00,148.9120357142857,149.17860714285715,,,
133,stop_loss,long,149.012,2023-11-20 07:50:00,149.05228571428572,149.17860714285715,149.051,-1.0,2023-11-20 07:55:00
134,sell,short,148.259,2023-11-21 01:25:00,148.31342857142855,148.16828571428573,,,
135,stop_loss,short,148.259,2023-11-21 01:35:00,148.31342857142855,148.16828571428573,148.342,-1.0,2023-11-21 01:40:00
136,buy,long,148.615,2023-11-28 11:25:00,148.50935714285714,148.79107142857143,,,
137,stop_loss,long,148.615,2023-11-28 12:45:00,148.61785714285716,148.79107142857143,148.597,-1.0,2023-11-28 12:50:00
138,sell,short,148.352,2023-11-28 14:30:00,148.45142857142858,148.1862857142857,,,
139,stop_loss,short,148.352,2023-11-28 14:40:00,148.45142857142858,148.1862857142857,148.532,-1.0,2023-11-28 14:45:00
140,buy,long,148.287,2023-11-30 22:40:00,148.22410714285715,148.39182142857143,,,
141,stop_loss,long,148.287,2023-11-30 22:50:00,148.22410714285715,148.39182142857143,148.217,-1.0,2023-11-30 22:55:00
142,buy,long,147.195,2023-12-04 19:20:00,147.07489285714286,147.39517857142857,,,
143,take_profit,long,147.195,2023-12-04 20:15:00,147.30735714285714,147.39517857142857,147.424,1.5,2023-12-04 20:20:00
144,buy,long,147.266,2023-12-06 11:35:00,147.16335714285714,147.43707142857141,,,
145,stop_loss,long,147.266,2023-12-06 12:25:00,147.3355,147.43707142857141,147.331,-1.0,2023-12-06 12:30:00
146,buy,long,142.79,2023-12-14 01:50:00,142.54153571428571,143.20410714285714,,,
147,stop_loss,long,142.79,2023-12-14 02:20:00,142.54153571428571,143.20410714285714,142.443,-1.0,2023-12-14 02:25:00
148,sell,short,143.557,2023-12-20 23:45:00,143.6368214285714,143.42396428571425,,,
149,stop_loss,short,143.557,2023-12-20 23:55:00,143.4865,143.42396428571425,143.512,-1.0,2023-12-21 00:00:00
150,sell,short,141.97,2023-12-22 14:25:00,142.06439285714285,141.81267857142856,,,
151,stop_loss,short,141.97,2023-12-22 14:35:00,142.06439285714285,141.81267857142856,142.087,-1.0,2023-12-22 14:40:00
152,sell,short,142.466,2023-12-26 19:50:00,142.50960714285713,142.39332142857145,,,
153,stop_loss,short,142.466,2023-12-26 20:05:00,142.42885714285714,142.39332142857145,142.436,-1.0,2023-12-26 20:10:00
154,sell,short,142.424,2023-12-26 20:30:00,142.47135714285716,142.34507142857143,,,
155,stop_loss,short,142.424,2023-12-26 20:30:00,142.47135714285716,142.34507142857143,142.495,-1.0,2023-12-26 20:35:00
156,buy,long,149.681,2023-10-18 10:20:00,149.63675,149.75475,,,
157,take_profit,long,149.681,2023-10-18 10:55:00,149.72314285714288,149.75475,149.766,1.5,2023-10-18 11:00:00
158,sell,short,149.744,2023-10-19 04:15:00,149.80957142857142,149.6347142857143,,,
159,buy,long,149.807,2023-10-19 05:05:00,149.75760714285713,149.8893214285714,,,
160,stop_loss,long,149.807,2023-10-19 08:50:00,149.75760714285713,149.8893214285714,149.746,-1.0,2023-10-19 08:55:00
161,sell,short,149.759,2023-10-19 20:55:00,149.84760714285713,149.61132142857142,,,
162,stop_loss,short,149.759,2023-10-20 00:40:00,149.75578571428574,149.61132142857142,149.763,-1.0,2023-10-20 00:45:00
163,buy,long,149.871,2023-10-20 09:20:00,149.84335714285714,149.91707142857143,,,
164,take_profit,long,149.871,2023-10-20 09:25:00,149.88799999999998,149.91707142857143,149.928,1.5,2023-10-20 09:30:00
165,sell,short,149.845,2023-10-20 18:45:00,149.90017857142857,149.75303571428572,,,
166,stop_loss,short,149.845,2023-10-20 19:40:00,149.8377857142857,149.75303571428572,149.842,-1.0,2023-10-20 19:45:00
167,buy,long,149.866,2023-10-20 22:25:00,149.83750000000003,149.9135,,,
168,stop_loss,long,149.866,2023-10-20 22:50:00,149.83750000000003,149.9135,149.829,-1.0,2023-10-20 22:55:00
169,buy,long,149.925,2023-10-23 12:30:00,149.8974642857143,149.97089285714287,,,
170,take_profit,long,149.925,2023-10-23 12:45:00,149.94278571428572,149.97089285714287,149.972,1.5,2023-10-23 12:50:00
171,sell,short,149.703,2023-10-23 19:50:00,149.74403571428573,149.63460714285713,,,
172,stop_loss,short,149.703,2023-10-23 19:50:00,149.69335714285714,149.63460714285713,149.696,-1.0,2023-10-23 19:55:00
173,buy,long,149.747,2023-10-24 14:55:00,149.70200000000003,149.822,,,
174,stop_loss,long,149.747,2023-10-24 15:10:00,149.774,149.822,149.771,-1.0,2023-10-24 15:15:00
175,sell,short,149.774,2023-10-24 19:35:00,149.81792857142855,149.70078571428573,,,
176,stop_loss,short,149.774,2023-10-24 20:30:00,149.81792857142855,149.70078571428573,149.82,-1.0,2023-10-24 20:35:00
177,buy,long,149.879,2023-10-24 22:10:00,149.85617857142856,149.9170357142857,,,
